"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Maxx Crosby (LV)","58","30","12.5","4","0","3","1","0","17","236.7","13.9","78.6%"
"2","Nick Bosa (SF)","41","10","18.5","1","0","2","0","0","16","200.3","12.5","83.3%"
"3","Myles Garrett (CLE)","37","23","16","4","0","2","0","0","16","196.1","12.3","73.6%"
"4","Christian Wilkins (MIA)","60","38","3.5","6","0","2","1","0","17","193.7","11.4","69.2%"
"5","Haason Reddick (PHI)","35","14","16","3","0","5","3","0","17","191.4","11.3","44.6%"
"6","Chris Jones (KC)","30","14","15.5","4","0","2","1","0","16","178.2","11.1","44.4%"
"7","Cameron Heyward (PIT)","39","35","10.5","4","0","1","1","0","17","176.3","10.4","44.9%"
"8","Daron Payne (WAS)","32","32","11.5","5","0","0","1","0","17","174.9","10.3","39.9%"
"9","Brian Burns (CAR)","34","29","12.5","3","0","1","0","0","16","174.2","10.9","53.2%"
"10","Jonathan Allen (WAS)","44","21","7.5","3","1","2","0","0","14","169.5","12.1","43.8%"
"11","DeForest Buckner (IND)","45","30","8","3","0","2","1","0","17","168.9","9.9","42.6%"
"12","J.J. Watt (FA)","30","9","12.5","7","0","1","1","0","16","165.5","10.3","4.2%"
"13","Danielle Hunter (MIN)","46","19","10.5","3","0","1","0","0","17","164.2","9.7","41.9%"
"14","Quinnen Williams (NYJ)","35","20","12","4","0","2","1","0","16","164.0","10.3","43.1%"
"15","Josh Sweat (PHI)","31","17","11","1","1","1","0","1","16","157.6","9.9","19.8%"
"16","Cameron Jordan (NO)","40","26","8.5","2","0","2","0","0","16","157.1","9.8","34.3%"
"17","Javon Hargrave (SF)","37","23","11","2","0","1","2","0","17","157.1","9.2","28.5%"
"18","DeMarcus Lawrence (DAL)","43","22","6","3","0","3","1","1","17","154.2","9.1","33.1%"
"19","Josh Allen (JAC)","35","22","6","2","0","4","2","1","17","153.9","9.1","28.5%"
"20","Aidan Hutchinson (DET)","34","18","9.5","3","3","0","2","0","17","152.9","9.0","55.3%"
"21","Dexter Lawrence II (NYG)","35","33","7.5","3","0","2","0","0","16","137.7","8.6","31.3%"
"22","Sam Hubbard (CIN)","34","26","6.5","3","0","1","0","0","15","132.9","8.9","31.8%"
"23","Jaelan Phillips (MIA)","37","23","7","2","0","1","1","0","17","132.1","7.8","18.9%"
"24","Grover Stewart (IND)","44","26","4","2","0","0","1","0","17","131.5","7.7","13.6%"
"25","Deatrich Wise Jr. (NE)","33","26","7.5","3","0","2","0","0","17","129.6","7.6","11.0%"
"26","Zach Sieler (MIA)","41","29","3.5","4","0","2","0","0","17","129.1","7.6","18.6%"
"27","Grady Jarrett (ATL)","30","31","6","3","0","0","0","0","16","127.3","8.0","15.4%"
"28","Jeffery Simmons (TEN)","25","29","7.5","7","0","1","0","0","15","126.5","8.4","23.5%"
"29","Montez Sweat (WAS)","27","19","8","2","0","0","0","0","17","125.1","7.4","14.0%"
"30","Kayvon Thibodeaux (NYG)","33","16","4","5","0","2","2","1","14","122.3","8.7","31.0%"
"31","Brandon Graham (PHI)","19","15","11","1","0","2","0","0","16","121.2","7.6","6.0%"
"32","B.J. Hill (CIN)","30","38","3","4","0","1","3","0","16","118.0","7.4","14.7%"
"33","Jerry Hughes (HOU)","21","14","9","1","1","2","0","0","16","117.8","7.4","8.3%"
"34","Darrell Taylor (SEA)","22","4","9.5","1","0","4","1","0","14","115.6","8.3","2.4%"
"35","Greg Rousseau (BUF)","27","10","8","4","0","1","0","0","13","115.3","8.9","19.8%"
"36","Josh Uche (NE)","23","4","11.5","0","0","2","0","0","14","114.2","8.2","2.9%"
"37","Aaron Donald (LAR)","27","22","5","2","0","1","1","0","11","113.1","10.3","64.5%"
"38","Justin Jones (CHI)","28","24","3","4","0","0","1","0","17","112.4","6.6","4.6%"
"39","Kwity Paye (IND)","32","13","6","0","0","0","1","0","11","111.1","10.1","16.5%"
"40","Carl Granderson (NO)","30","23","5.5","0","0","0","1","0","14","111.0","7.9","6.5%"
"41","Zach Allen (DEN)","22","25","5.5","8","0","0","0","0","13","108.6","8.4","14.2%"
"42","Sebastian Joseph-Day (LAC)","27","29","2","1","1","1","1","0","15","107.6","7.2","12.1%"
"43","Dorance Armstrong Jr. (DAL)","17","16","8.5","0","0","1","2","0","17","106.4","6.3","3.3%"
"44","Dre'Mont Jones (SEA)","24","22","6.5","0","0","1","0","0","13","105.1","8.1","11.5%"
"45","Derrick Brown (CAR)","30","37","1","7","1","0","0","0","17","105.1","6.2","9.9%"
"46","Trey Hendrickson (CIN)","22","10","8","3","0","3","0","0","15","104.2","6.9","14.4%"
"47","Fletcher Cox (PHI)","23","20","7","0","0","1","1","0","16","103.3","6.5","7.5%"
"48","George Karlaftis III (KC)","18","15","6","7","0","0","2","0","17","101.0","5.9","10.4%"
"49","Anthony Nelson (TB)","25","19","5.5","0","0","3","1","0","17","100.3","5.9","3.2%"
"50","Denico Autry (TEN)","17","10","8","4","0","2","0","0","12","99.2","8.3","6.3%"
"51","Justin Madubuike (BAL)","26","16","5.5","3","0","0","0","0","16","97.8","6.1","2.8%"
"52","Frank Clark (DEN)","25","14","5","1","0","1","1","0","15","97.8","6.5","1.9%"
"53","Yannick Ngakoue (FA)","18","11","9.5","0","0","1","0","0","14","97.7","7.0","2.0%"
"54","Carl Lawson (NYJ)","18","15","7","0","0","1","1","0","17","97.2","5.7","4.3%"
"55","Kenny Clark (GB)","27","26","4","0","0","1","1","0","17","97.1","5.7","14.3%"
"56","Jihad Ward (NYG)","28","15","3","4","0","2","0","0","16","97.0","6.1","1.5%"
"57","Jarran Reed (SEA)","29","23","2.5","0","0","1","2","0","17","95.7","5.6","5.4%"
"58","Carlos Dunlap II (FA)","25","14","4","8","0","1","0","0","17","95.3","5.6","1.6%"
"59","Rashad Weaver (TEN)","18","9","5.5","6","0","2","1","0","15","94.6","6.3","1.0%"
"60","DaVon Hamilton (JAC)","27","29","2.5","1","0","1","1","0","17","94.6","5.6","3.1%"
"61","DeMarcus Walker (CHI)","23","9","7","0","0","0","0","0","15","94.5","6.3","2.7%"
"62","Travon Walker (JAC)","24","25","3.5","2","1","1","0","0","15","93.6","6.2","16.0%"
"63","Morgan Fox (LAC)","24","14","6.5","0","0","0","0","0","17","93.0","5.5","8.6%"
"64","Osa Odighizuwa (DAL)","27","16","4","0","0","1","0","0","17","93.0","5.5","2.7%"
"65","Odafe Oweh (BAL)","30","13","3","0","0","1","1","0","17","92.5","5.4","13.5%"
"66","Justin Houston (FA)","14","7","9.5","1","1","1","0","0","13","92.4","7.1","0.8%"
"67","Roy Robertson-Harris (JAC)","28","17","3","4","0","0","0","0","17","90.5","5.3","3.4%"
"68","Dante Fowler Jr. (DAL)","22","5","6","2","0","2","0","0","14","89.5","6.4","2.5%"
"69","David Onyemata (ATL)","25","18","5","1","0","0","1","0","16","89.5","5.6","1.0%"
"70","Melvin Ingram III (FA)","15","7","6","1","0","1","2","1","17","89.0","5.2","0.4%"
"71","Yetur Gross-Matos (CAR)","18","36","2.5","0","0","0","3","0","17","88.9","5.2","5.3%"
"72","Leonard Williams (NYG)","26","19","2.5","0","0","1","2","0","12","88.0","7.3","12.4%"
"73","Maliek Collins (HOU)","27","10","3.5","2","0","0","0","0","15","87.7","5.8","2.3%"
"74","Sam Williams (DAL)","15","7","4","1","0","1","3","0","13","86.5","6.7","1.6%"
"75","Vita Vea (TB)","15","16","6.5","0","0","1","1","0","12","86.3","7.2","7.0%"
"76","Ed Oliver (BUF)","20","14","2.5","3","0","1","1","0","12","85.7","7.1","7.3%"
"77","A.J. Epenesa (BUF)","13","3","6.5","5","0","2","1","0","13","84.9","6.5","1.3%"
"78","Harrison Phillips (MIN)","28","31","1.5","1","0","0","1","0","17","84.7","5.0","7.8%"
"79","Calais Campbell (ATL)","18","18","5.5","2","0","2","0","0","14","83.8","6.0","11.9%"
"80","Milton Williams (PHI)","19","18","4","2","0","0","0","0","16","83.7","5.2","0.4%"
"81","Rasheem Green (CHI)","27","15","3.5","2","0","0","0","0","16","81.5","5.1","16.3%"
"82","Davon Godchaux (NE)","25","37","1.5","0","0","0","0","0","17","79.3","4.7","3.0%"
"83","Larry Ogunjobi (PIT)","25","23","1.5","0","0","0","0","0","15","78.6","5.2","2.5%"
"84","DeShawn Williams (CAR)","21","16","4.5","4","0","0","0","0","15","77.9","5.2","0.7%"
"85","Shelby Harris (FA)","24","20","2","4","0","0","0","0","14","77.8","5.6","3.4%"
"86","Teair Tart (TEN)","20","14","1.5","6","1","0","1","0","15","77.3","5.2","1.4%"
"87","Sheldon Rankins (HOU)","25","18","3","0","0","1","0","0","15","77.3","5.2","4.6%"
"88","Khalen Saunders (NO)","22","26","3.5","1","0","0","0","0","16","76.1","4.8","2.3%"
"89","D.J. Wonnum (MIN)","23","11","4","0","0","1","0","0","16","75.5","4.7","0.9%"
"90","Quinton Jefferson (NYJ)","17","12","5.5","2","0","0","0","0","16","74.8","4.7","8.9%"
"91","Shy Tuttle (CAR)","26","23","2","5","0","0","0","0","15","74.5","5.0","2.5%"
"92","Broderick Washington Jr. (BAL)","25","24","1","6","0","0","0","0","17","74.0","4.4","1.0%"
"93","Michael Hoecht (LAR)","21","13","4.5","0","0","1","0","0","11","73.3","6.7","7.5%"
"94","John Cominsky (DET)","18","12","4","3","0","1","0","0","12","73.3","6.1","4.8%"
"95","Poona Ford (BUF)","22","13","3","2","0","0","0","0","15","73.1","4.9","0.3%"
"96","Dalvin Tomlinson (CLE)","20","22","2.5","0","0","1","1","0","13","72.4","5.6","3.5%"
"97","John Franklin-Myers (NYJ)","16","22","5","1","0","0","0","0","17","72.4","4.3","2.1%"
"98","Dawuane Smoot (JAC)","14","7","5","2","0","1","1","0","13","72.4","5.6","0.0%"
"99","Al Woods (NYJ)","27","12","2","1","0","0","0","0","12","71.8","6.0","1.4%"
"100","Shaq Lawson (BUF)","19","11","3.5","1","0","1","0","0","14","71.3","5.1","1.1%"
"101","Arden Key (TEN)","16","11","4.5","2","0","0","1","0","17","70.0","4.1","0.7%"
"102","William Gholston (FA)","24","26","0","0","0","0","1","0","17","70.0","4.1","0.1%"
"103","Dayo Odeyingbo (IND)","18","13","5","0","0","0","0","0","17","69.6","4.1","1.2%"
"104","Greg Gaines (TB)","16","19","4","0","0","0","0","0","13","69.6","5.4","3.1%"
"105","Jason Pierre-Paul (FA)","17","9","3","5","1","0","0","0","11","69.5","6.3","0.6%"
"106","Boye Mafe (SEA)","27","11","3","0","0","0","0","0","16","68.6","4.3","2.0%"
"107","D.J. Jones (DEN)","22","12","2","6","0","0","0","0","14","67.1","4.8","3.2%"
"108","Arnold Ebiketie (ATL)","21","9","2.5","2","0","2","0","0","14","67.0","4.8","3.0%"
"109","Carl Nassib (FA)","15","8","3.5","3","0","0","1","0","13","66.2","5.1","0.3%"
"110","Kingsley Enagbare (GB)","18","13","3","3","0","0","0","0","16","66.0","4.1","1.2%"
"111","Jordan Elliott (CLE)","19","17","2","2","0","0","0","0","16","65.3","4.1","1.5%"
"112","DaQuan Jones (BUF)","22","16","2","0","0","0","1","0","16","64.6","4.0","2.5%"
"113","Lawrence Guy Sr. (NE)","18","28","2","0","0","0","0","0","14","63.7","4.6","12.1%"
"114","Alim McNeill (DET)","17","24","1","0","0","0","0","0","17","62.9","3.7","13.5%"
"115","Roy Lopez (HOU)","20","16","1","1","0","0","0","0","15","62.8","4.2","2.1%"
"116","Trevis Gipson (CHI)","17","14","3","3","0","0","0","0","16","62.8","3.9","3.7%"
"117","Mike Danna (KC)","9","18","5","0","0","2","0","0","13","62.7","4.8","1.6%"
"118","Matt Ioannidis (FA)","17","20","1","1","0","1","0","0","13","62.7","4.8","0.6%"
"119","Mike Purcell (DEN)","21","24","1.5","0","0","0","1","0","16","62.6","3.9","2.9%"
"120","Jadeveon Clowney (FA)","14","14","2","3","0","1","1","0","12","62.3","5.2","2.1%"
"121","Myjai Sanders (ARI)","17","6","3","3","0","1","1","0","13","62.2","4.8","2.6%"
"122","Jonathon Cooper (DEN)","20","25","2","0","0","0","0","0","13","61.9","4.8","1.1%"
"123","Isaiah Buggs (DET)","21","25","1","2","0","1","0","0","17","61.5","3.6","2.5%"
"124","Bruce Irvin (FA)","18","10","3.5","0","0","0","0","0","11","61.3","5.6","0.0%"
"125","Bilal Nichols (LV)","16","28","1.5","0","0","0","0","0","17","61.3","3.6","3.1%"
"126","Pat Jones II (MIN)","12","9","4","0","0","0","0","0","15","61.1","4.1","0.7%"
"127","Micheal Clemons (NYJ)","20","13","2.5","0","0","0","0","0","16","60.1","3.8","4.2%"
"128","Kentavius Street (PHI)","13","16","3.5","1","0","0","0","0","15","59.8","4.0","5.0%"
"129","Rakeem Nunez-Roches (NYG)","19","14","2","0","0","0","0","0","16","59.8","3.7","0.0%"
"130","Efe Obada (WAS)","14","10","4","2","0","0","0","0","15","57.9","3.9","0.6%"
"131","Jonathan Greenard (HOU)","9","7","1.5","1","1","0","1","1","7","56.3","8.0","6.4%"
"132","Dean Lowry (MIN)","23","20","0.5","1","0","0","0","0","14","56.0","4.0","2.6%"
"133","Andrew Billings (CHI)","18","21","1","0","0","0","0","0","13","54.6","4.2","6.4%"
"134","D.J. Reader (CIN)","18","9","0","4","0","1","2","0","9","54.5","6.1","2.6%"
"135","Armon Watts (PIT)","18","17","1","0","0","0","0","0","16","54.1","3.4","0.4%"
"136","A'Shawn Robinson (NYG)","22","20","0","0","0","0","0","0","10","53.4","5.3","3.1%"
"137","Drake Jackson (SF)","8","6","3","8","1","0","0","0","14","53.3","3.8","4.7%"
"138","Jermaine Johnson II (NYJ)","18","11","2.5","0","0","0","0","0","13","53.0","4.1","4.8%"
"139","Nathan Shepherd (NO)","16","17","1.5","0","0","0","0","0","14","53.0","3.8","1.1%"
"140","James Smith-Williams (WAS)","12","11","3","1","0","0","0","0","13","52.5","4.0","0.6%"
"141","Abdullah Anderson (WAS)","15","25","1","1","0","0","0","0","15","52.2","3.5","1.2%"
"142","Joseph Ossai (CIN)","6","11","3.5","1","0","0","2","1","13","52.1","4.0","1.3%"
"143","Charles Omenihu (KC)","7","13","4.5","1","0","1","0","0","15","51.5","3.4","1.9%"
"144","Dominique Robinson (CHI)","19","11","1.5","2","0","0","0","0","16","51.1","3.2","2.1%"
"145","Kevin Givens (SF)","11","9","2","1","0","0","0","0","12","50.4","4.2","1.7%"
"146","Cam Sample (CIN)","17","8","2","0","0","0","0","0","13","49.7","3.8","1.9%"
"147","Chris Wormley (FA)","13","16","0.5","0","0","1","1","0","11","49.3","4.5","0.0%"
"148","Ifeadi Odenigbo (NYJ)","9","9","3.5","0","0","1","0","0","12","48.5","4.0","0.0%"
"149","Tanoh Kpassagnon (NO)","15","13","2","0","0","0","0","0","12","48.1","4.0","1.3%"
"150","Mike Pennel Jr. (FA)","16","10","0","2","0","1","1","0","15","47.7","3.2","0.0%"
"151","Neville Gallimore (DAL)","16","17","1","1","0","0","0","0","16","47.5","3.0","1.1%"
"152","Alex Wright (CLE)","13","15","0","5","0","0","1","0","15","47.5","3.2","1.1%"
"153","Taven Bryan (IND)","11","15","3","1","0","0","0","0","15","46.7","3.1","0.7%"
"154","Tim Settle (BUF)","11","8","1","1","0","1","1","0","13","46.3","3.6","1.1%"
"155","Boogie Basham Jr. (BUF)","10","10","2","2","1","0","1","0","15","45.4","3.0","1.3%"
"156","Kurt Hinish (HOU)","11","12","1","0","0","0","0","0","13","44.9","3.5","2.6%"
"157","Mario Edwards Jr. (SEA)","11","6","3","1","0","0","0","0","12","44.7","3.7","1.6%"
"158","Marquise Copeland (LAR)","16","15","1","0","0","0","0","0","10","44.4","4.4","0.3%"
"159","DeAngelo Malone (ATL)","16","8","1","0","0","0","0","0","13","44.2","3.4","0.3%"
"160","Al-Quadin Muhammad (IND)","15","14","1","0","0","1","0","0","15","43.6","2.9","0.0%"
"161","Ta'Quon Graham (ATL)","15","19","0","0","0","0","1","0","10","43.5","4.4","0.4%"
"162","Clelin Ferrell (SF)","8","17","2","2","0","0","0","0","15","43.5","2.9","2.6%"
"163","Folorunso Fatukasi (JAC)","13","11","1.5","3","0","0","0","0","13","43.3","3.3","3.3%"
"164","Hassan Ridgeway (HOU)","14","14","1","0","0","0","0","0","12","43.3","3.6","0.7%"
"165","Christian Barmore (NE)","12","11","2.5","1","0","0","0","0","10","43.0","4.3","8.6%"
