"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Foyesade Oluokun (JAC)","128","56","2","5","0","2","2","0","17","295.8","17.4","87.5%"
"2","Roquan Smith (BAL)","103","66","4.5","6","3","0","0","0","17","274.0","16.1","88.8%"
"3","Nick Bolton (KC)","108","72","2","3","2","1","0","0","17","265.4","15.6","82.1%"
"4","Zaire Franklin (IND)","102","64","3","6","0","3","0","0","17","264.3","15.5","74.5%"
"5","T.J. Edwards (CHI)","99","60","2","7","0","0","1","0","17","241.2","14.2","65.1%"
"6","Drue Tranquill (KC)","93","51","5","4","1","1","0","0","17","238.2","14.0","35.5%"
"7","Frankie Luvu (CAR)","76","35","7","4","1","1","0","1","15","237.2","15.8","47.6%"
"8","Bobby Wagner (SEA)","82","58","6","5","2","0","0","0","17","233.5","13.7","75.0%"
"9","C.J. Mosley (NYJ)","99","59","1","7","1","0","1","0","17","229.2","13.5","66.2%"
"10","Rashaan Evans (FA)","87","72","2","4","0","1","2","0","17","226.0","13.3","37.1%"
"11","Jordyn Brooks (SEA)","103","58","1","5","0","1","1","0","16","225.5","14.1","42.7%"
"12","Bobby Okereke (NYG)","97","52","0","5","0","2","2","0","17","223.4","13.1","67.7%"
"13","Patrick Queen (BAL)","79","38","5","6","2","1","2","0","17","220.8","13.0","42.0%"
"14","Devin White (TB)","73","51","5.5","5","0","2","3","0","17","217.6","12.8","54.8%"
"15","Eric Kendricks (LAC)","87","51","1","6","0","0","1","1","17","212.4","12.5","44.8%"
"16","Matt Milano (BUF)","72","27","1.5","11","3","0","2","1","16","210.1","13.1","44.4%"
"17","Josey Jewell (DEN)","69","58","2.5","4","2","2","2","0","13","206.9","15.9","55.6%"
"18","Lavonte David (TB)","80","44","3","5","0","1","1","0","17","206.0","12.1","40.5%"
"19","Christian Kirksey (HOU)","82","42","3","5","2","0","1","0","17","205.9","12.1","23.7%"
"20","Micah Parsons (DAL)","43","22","13.5","3","0","3","3","1","17","204.9","12.1","80.6%"
"21","Alex Singleton (DEN)","93","60","0","3","0","0","0","0","16","204.4","12.8","41.2%"
"22","Jordan Hicks (MIN)","86","43","3","10","1","1","0","0","17","202.7","11.9","41.3%"
"23","Dre Greenlaw (SF)","82","45","0","6","1","2","2","1","15","200.7","13.4","47.0%"
"24","Fred Warner (SF)","80","51","2","10","1","1","0","0","17","198.1","11.7","67.1%"
"25","Cody Barton (WAS)","81","52","2","6","2","0","0","0","17","197.9","11.6","23.3%"
"26","Alex Anzalone (DET)","77","48","1.5","6","1","1","1","0","17","197.4","11.6","20.0%"
"27","Isaiah Simmons (ARI)","68","31","4","7","2","2","1","1","17","192.6","11.3","32.1%"
"28","Demario Davis (NO)","54","55","6.5","6","1","0","1","0","17","191.8","11.3","25.1%"
"29","Quay Walker (GB)","73","46","1.5","7","0","3","1","0","17","189.4","11.1","34.9%"
"30","Shaq Thompson (CAR)","78","57","0.5","4","0","0","0","0","17","188.2","11.1","32.0%"
"31","Logan Wilson (CIN)","83","41","2.5","4","1","1","0","0","16","188.1","11.8","46.9%"
"32","Matthew Judon (NE)","36","24","15.5","3","0","2","1","0","17","186.0","10.9","37.6%"
"33","Alex Highsmith (PIT)","38","25","14.5","1","0","5","0","0","17","185.6","10.9","47.5%"
"34","Nicholas Morrow (PHI)","83","33","0","2","1","0","0","0","17","185.1","10.9","14.5%"
"35","Zaven Collins (ARI)","63","37","2","6","1","1","0","1","16","182.2","11.4","31.8%"
"36","Quincy Williams (NYJ)","74","32","3","1","0","0","0","0","15","178.9","11.9","20.1%"
"37","Uchenna Nwosu (SEA)","42","24","9.5","4","0","3","2","0","17","175.4","10.3","23.9%"
"38","Ja'Whaun Bentley (NE)","60","62","3","2","1","0","1","0","17","173.5","10.2","15.8%"
"39","Jamin Davis (WAS)","68","36","3","1","0","0","2","0","16","173.4","10.8","20.0%"
"40","Elandon Roberts (PIT)","65","39","4.5","0","0","0","0","0","17","170.2","10.0","10.1%"
"41","Jerome Baker (MIA)","66","35","4","4","0","1","0","0","17","166.7","9.8","18.4%"
"42","Devin Lloyd (JAC)","59","56","0","8","3","0","2","0","17","166.0","9.8","21.2%"
"43","Germaine Pratt (CIN)","50","49","1","10","2","1","1","0","15","164.1","10.9","15.5%"
"44","Willie Gay Jr. (KC)","51","37","2.5","8","1","0","1","1","13","163.9","12.6","14.7%"
"45","Mykal Walker (ATL)","56","51","1","6","2","1","0","0","16","159.7","10.0","10.6%"
"46","Tremaine Edmunds (CHI)","66","37","1","7","1","0","0","0","14","159.1","11.4","56.1%"
"47","Kyzir White (ARI)","66","44","1.5","7","0","0","0","0","17","156.6","9.2","15.4%"
"48","Ernest Jones (LAR)","65","48","0","2","1","1","0","0","17","155.9","9.2","24.5%"
"49","Denzel Perryman (HOU)","54","29","1","2","2","0","0","0","12","155.1","12.9","14.6%"
"50","De'Vondre Campbell (GB)","57","40","0","3","2","0","0","1","13","151.3","11.6","39.5%"
"51","Za'Darius Smith (CLE)","32","12","10","5","0","2","0","0","16","150.5","9.4","18.5%"
"52","Khalil Mack (LAC)","33","17","8","2","0","2","2","0","17","143.8","8.5","24.6%"
"53","Kaden Elliss (ATL)","41","33","7","2","0","2","0","0","17","143.1","8.4","7.6%"
"54","David Long Jr. (MIA)","52","34","0","5","2","0","0","0","12","138.8","11.6","19.0%"
"55","Malcolm Rodriguez (DET)","58","25","1","2","0","0","1","0","16","136.9","8.6","7.4%"
"56","Myles Jack (FA)","61","44","0","3","0","0","0","0","13","136.7","10.5","9.1%"
"57","Preston Smith (GB)","38","21","8.5","1","0","1","0","0","16","135.2","8.5","11.5%"
"58","Leonard Floyd (BUF)","31","28","9","0","0","0","1","0","17","133.0","7.8","5.6%"
"59","Kenneth Murray Jr. (LAC)","50","26","1","3","1","1","0","0","17","130.0","7.6","7.3%"
"60","Leighton Vander Esch (DAL)","54","36","1","1","0","1","0","0","14","127.9","9.1","17.1%"
"61","Christian Harris (HOU)","46","28","1","6","1","1","0","0","12","127.3","10.6","9.6%"
"62","Lorenzo Carter (ATL)","29","29","4","2","1","0","1","1","17","120.9","7.1","8.8%"
"63","Pete Werner (NO)","55","24","0","3","0","2","0","0","12","120.7","10.1","18.1%"
"64","Jeremiah Owusu-Koramoah (CLE)","45","25","0","4","0","2","0","0","12","118.0","9.8","18.8%"
"65","Jaylon Smith (FA)","46","42","1","0","0","0","1","0","13","116.4","9.0","2.1%"
"66","Robert Spillane (LV)","50","27","1","4","0","0","0","0","16","115.7","7.2","3.8%"
"67","Kyle Van Noy (FA)","30","16","5","3","0","1","2","0","17","114.0","6.7","2.2%"
"68","T.J. Watt (PIT)","27","12","5.5","5","2","1","0","0","10","113.2","11.3","75.7%"
"69","Ogbonnia Okoronkwo (CLE)","32","12","5","2","0","1","0","0","17","106.8","6.3","2.0%"
"70","Kwon Alexander (FA)","42","27","0.5","1","0","1","0","0","17","106.2","6.2","2.2%"
"71","Jack Sanborn (CHI)","47","12","2","0","0","0","1","0","10","104.1","10.4","9.1%"
"72","Bradley Chubb (MIA)","20","19","8","1","0","3","0","0","16","102.8","6.4","14.0%"
